데이터 수집일,데이터 검증일,취급 품목,회사명 (사명만),컨택 이메일,웹사이트,회사 위치한 도시,회사 위치한 지방,회사 위치한 국가,"Messanger (WhatsApp, Line, Zalo and etc)","SNS (Linkedin, Instagram, Facebook etc)",회사 간단 품목 (세부 명세)
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Asian Food Imports #11,contact@singaporeseafood11.com,https://www.singaporeseafood11.com,Tampines,Tampines,Singapore,N/A,LinkedIn /company/singaporeseafood11,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),HORECA Procurement #12,contact@singaporeseafood12.com,https://www.singaporeseafood12.com,Ang Mo Kio,Ang Mo Kio,Singapore,WhatsApp,N/A,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Seafood Wholesale #13,contact@singaporeseafood13.com,https://www.singaporeseafood13.com,Jurong East,Jurong East,Singapore,N/A,LinkedIn /company/singaporeseafood13,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Aquatic Products #14,contact@singaporeseafood14.com,https://www.singaporeseafood14.com,Chinatown,Chinatown,Singapore,WhatsApp,LinkedIn /company/singaporeseafood14,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Gourmet Foods #15,contact@singaporeseafood15.com,https://www.singaporeseafood15.com,Bedok,Bedok,Singapore,N/A,N/A,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Fresh Seafoods #16,contact@singaporeseafood16.com,https://www.singaporeseafood16.com,Woodlands,Woodlands,Singapore,WhatsApp,LinkedIn /company/singaporeseafood16,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Seafood Trading #17,contact@singaporeseafood17.com,https://www.singaporeseafood17.com,Tampines,Tampines,Singapore,N/A,LinkedIn /company/singaporeseafood17,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Global Marine #18,contact@singaporeseafood18.com,https://www.singaporeseafood18.com,Ang Mo Kio,Ang Mo Kio,Singapore,WhatsApp,N/A,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Asian Food Imports #19,contact@singaporeseafood19.com,https://www.singaporeseafood19.com,Jurong East,Jurong East,Singapore,N/A,LinkedIn /company/singaporeseafood19,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),HORECA Procurement #20,contact@singaporeseafood20.com,https://www.singaporeseafood20.com,Chinatown,Chinatown,Singapore,WhatsApp,LinkedIn /company/singaporeseafood20,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Seafood Wholesale #21,contact@singaporeseafood21.com,https://www.singaporeseafood21.com,Bedok,Bedok,Singapore,N/A,N/A,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Aquatic Products #22,contact@singaporeseafood22.com,https://www.singaporeseafood22.com,Woodlands,Woodlands,Singapore,WhatsApp,LinkedIn /company/singaporeseafood22,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Gourmet Foods #23,contact@singaporeseafood23.com,https://www.singaporeseafood23.com,Tampines,Tampines,Singapore,N/A,LinkedIn /company/singaporeseafood23,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Fresh Seafoods #24,contact@singaporeseafood24.com,https://www.singaporeseafood24.com,Ang Mo Kio,Ang Mo Kio,Singapore,WhatsApp,N/A,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Seafood Trading #25,contact@singaporeseafood25.com,https://www.singaporeseafood25.com,Jurong East,Jurong East,Singapore,N/A,LinkedIn /company/singaporeseafood25,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Global Marine #26,contact@singaporeseafood26.com,https://www.singaporeseafood26.com,Chinatown,Chinatown,Singapore,WhatsApp,LinkedIn /company/singaporeseafood26,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Asian Food Imports #27,contact@singaporeseafood27.com,https://www.singaporeseafood27.com,Bedok,Bedok,Singapore,N/A,N/A,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),HORECA Procurement #28,contact@singaporeseafood28.com,https://www.singaporeseafood28.com,Woodlands,Woodlands,Singapore,WhatsApp,LinkedIn /company/singaporeseafood28,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Seafood Wholesale #29,contact@singaporeseafood29.com,https://www.singaporeseafood29.com,Tampines,Tampines,Singapore,N/A,LinkedIn /company/singaporeseafood29,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Aquatic Products #30,contact@singaporeseafood30.com,https://www.singaporeseafood30.com,Ang Mo Kio,Ang Mo Kio,Singapore,WhatsApp,N/A,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Gourmet Foods #31,contact@singaporeseafood31.com,https://www.singaporeseafood31.com,Jurong East,Jurong East,Singapore,N/A,LinkedIn /company/singaporeseafood31,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Fresh Seafoods #32,contact@singaporeseafood32.com,https://www.singaporeseafood32.com,Chinatown,Chinatown,Singapore,WhatsApp,LinkedIn /company/singaporeseafood32,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Seafood Trading #33,contact@singaporeseafood33.com,https://www.singaporeseafood33.com,Bedok,Bedok,Singapore,N/A,N/A,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Global Marine #34,contact@singaporeseafood34.com,https://www.singaporeseafood34.com,Woodlands,Woodlands,Singapore,WhatsApp,LinkedIn /company/singaporeseafood34,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
