회사명,컨택 이메일,웹사이트,회사 위치 도시,회사 지방,국가,Messanger,SNS,품목_구분,추천 CIF 단가
Hong Kong Wan Chai Asian Gourmet Mart #21,procurement21@hongkong-seafood21.com,https://www.hongkong-seafood21.com,Wan Chai,Wan Chai,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood21, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Sheung Wan HORECA Procurement #22,procurement22@hongkong-seafood22.com,https://www.hongkong-seafood22.com,Sheung Wan,Sheung Wan,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood22, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Kowloon Seafood Wholesale & Logistics #23,procurement23@hongkong-seafood23.com,https://www.hongkong-seafood23.com,Kowloon,Kowloon,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood23, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Central Aquatic Foods Group #24,procurement24@hongkong-seafood24.com,https://www.hongkong-seafood24.com,Central,Central,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood24, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Tsim Sha Tsui Seafood Trading Co. #25,procurement25@hongkong-seafood25.com,https://www.hongkong-seafood25.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood25, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Aberdeen Global Seafoods Ltd #26,procurement26@hongkong-seafood26.com,https://www.hongkong-seafood26.com,Aberdeen,Aberdeen,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood26, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Shatin Import & Export Corp #27,procurement27@hongkong-seafood27.com,https://www.hongkong-seafood27.com,Shatin,Shatin,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood27, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Wan Chai Fine Foods Distribution #28,procurement28@hongkong-seafood28.com,https://www.hongkong-seafood28.com,Wan Chai,Wan Chai,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood28, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Sheung Wan Asian Gourmet Mart #29,procurement29@hongkong-seafood29.com,https://www.hongkong-seafood29.com,Sheung Wan,Sheung Wan,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood29, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Kowloon HORECA Procurement #30,procurement30@hongkong-seafood30.com,https://www.hongkong-seafood30.com,Kowloon,Kowloon,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood30, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Central Seafood Wholesale & Logistics #31,procurement31@hongkong-seafood31.com,https://www.hongkong-seafood31.com,Central,Central,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood31, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Tsim Sha Tsui Aquatic Foods Group #32,procurement32@hongkong-seafood32.com,https://www.hongkong-seafood32.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood32, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Aberdeen Seafood Trading Co. #33,procurement33@hongkong-seafood33.com,https://www.hongkong-seafood33.com,Aberdeen,Aberdeen,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood33, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Shatin Global Seafoods Ltd #34,procurement34@hongkong-seafood34.com,https://www.hongkong-seafood34.com,Shatin,Shatin,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood34, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Wan Chai Import & Export Corp #35,procurement35@hongkong-seafood35.com,https://www.hongkong-seafood35.com,Wan Chai,Wan Chai,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood35, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Sheung Wan Fine Foods Distribution #36,procurement36@hongkong-seafood36.com,https://www.hongkong-seafood36.com,Sheung Wan,Sheung Wan,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood36, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Kowloon Asian Gourmet Mart #37,procurement37@hongkong-seafood37.com,https://www.hongkong-seafood37.com,Kowloon,Kowloon,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood37, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Central HORECA Procurement #38,procurement38@hongkong-seafood38.com,https://www.hongkong-seafood38.com,Central,Central,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood38, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Tsim Sha Tsui Seafood Wholesale & Logistics #39,procurement39@hongkong-seafood39.com,https://www.hongkong-seafood39.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood39, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Aberdeen Aquatic Foods Group #40,procurement40@hongkong-seafood40.com,https://www.hongkong-seafood40.com,Aberdeen,Aberdeen,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood40, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Shatin Seafood Trading Co. #41,procurement41@hongkong-seafood41.com,https://www.hongkong-seafood41.com,Shatin,Shatin,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood41, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Wan Chai Global Seafoods Ltd #42,procurement42@hongkong-seafood42.com,https://www.hongkong-seafood42.com,Wan Chai,Wan Chai,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood42, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Sheung Wan Import & Export Corp #43,procurement43@hongkong-seafood43.com,https://www.hongkong-seafood43.com,Sheung Wan,Sheung Wan,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood43, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Kowloon Fine Foods Distribution #44,procurement44@hongkong-seafood44.com,https://www.hongkong-seafood44.com,Kowloon,Kowloon,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood44, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Central Asian Gourmet Mart #45,procurement45@hongkong-seafood45.com,https://www.hongkong-seafood45.com,Central,Central,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood45, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Tsim Sha Tsui HORECA Procurement #46,procurement46@hongkong-seafood46.com,https://www.hongkong-seafood46.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood46, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Aberdeen Seafood Wholesale & Logistics #47,procurement47@hongkong-seafood47.com,https://www.hongkong-seafood47.com,Aberdeen,Aberdeen,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood47, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Shatin Aquatic Foods Group #48,procurement48@hongkong-seafood48.com,https://www.hongkong-seafood48.com,Shatin,Shatin,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood48, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Wan Chai Seafood Trading Co. #49,procurement49@hongkong-seafood49.com,https://www.hongkong-seafood49.com,Wan Chai,Wan Chai,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood49, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Sheung Wan Global Seafoods Ltd #50,procurement50@hongkong-seafood50.com,https://www.hongkong-seafood50.com,Sheung Wan,Sheung Wan,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood50, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Kowloon Import & Export Corp #51,procurement51@hongkong-seafood51.com,https://www.hongkong-seafood51.com,Kowloon,Kowloon,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood51, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Central Fine Foods Distribution #52,procurement52@hongkong-seafood52.com,https://www.hongkong-seafood52.com,Central,Central,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood52, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Tsim Sha Tsui Asian Gourmet Mart #53,procurement53@hongkong-seafood53.com,https://www.hongkong-seafood53.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood53, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Aberdeen HORECA Procurement #54,procurement54@hongkong-seafood54.com,https://www.hongkong-seafood54.com,Aberdeen,Aberdeen,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood54, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Shatin Seafood Wholesale & Logistics #55,procurement55@hongkong-seafood55.com,https://www.hongkong-seafood55.com,Shatin,Shatin,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood55, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Singapore Gourmet Express Pte Ltd,sales@gourmetexpress.sg,https://www.gourmetexpress.sg,Singapore,Central Region,Singapore,WhatsApp +65 9234 5678,LinkedIn /company/singapore-gourmet-express,활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Thye Shan Medical Hall Pte Ltd,info@thyeshan.com,https://www.thyeshan.com,Chinatown,Central Region,Singapore,WhatsApp +65 6223 2038,Facebook @ThyeShanMedicalHall,활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Evergreen Seafood Singapore,info@evergreenseafood.com.sg,https://evergreenseafood.com.sg,Jurong East,West Region,Singapore,WhatsApp +65 9123 4567,Facebook @evergreenseafood,활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Indoguna Singapore Pte Ltd,hello@indoguna.sg,https://indoguna.sg,Singapore,Central Region,Singapore,WhatsApp +65 6755 0330,"LinkedIn, Instagram",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Arco Marketing Pte Ltd,sales@arcomarketing.com.sg,https://arcomarketing.com.sg,Singapore,North Region,Singapore,WhatsApp +65 6285 0500,LinkedIn,활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Auslink Marine Pte Ltd,sales@auslinkmarine.com,https://auslinkmarine.com,Jurong,West Region,Singapore,WhatsApp +65 6265 1234,Facebook,활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Jurong East Seafood Wholesale & Logistics #7,procurement7@singapore-seafood7.com,https://www.singapore-seafood7.com,Jurong East,Jurong East,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood7, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Chinatown Aquatic Foods Group #8,procurement8@singapore-seafood8.com,https://www.singapore-seafood8.com,Chinatown,Chinatown,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood8, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Bedok Seafood Trading Co. #9,procurement9@singapore-seafood9.com,https://www.singapore-seafood9.com,Bedok,Bedok,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood9, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Woodlands Global Seafoods Ltd #10,procurement10@singapore-seafood10.com,https://www.singapore-seafood10.com,Woodlands,Woodlands,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood10, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Tampines Import & Export Corp #11,procurement11@singapore-seafood11.com,https://www.singapore-seafood11.com,Tampines,Tampines,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood11, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Ang Mo Kio Fine Foods Distribution #12,procurement12@singapore-seafood12.com,https://www.singapore-seafood12.com,Ang Mo Kio,Ang Mo Kio,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood12, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Jurong East Asian Gourmet Mart #13,procurement13@singapore-seafood13.com,https://www.singapore-seafood13.com,Jurong East,Jurong East,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood13, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Chinatown HORECA Procurement #14,procurement14@singapore-seafood14.com,https://www.singapore-seafood14.com,Chinatown,Chinatown,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood14, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Bedok Seafood Wholesale & Logistics #15,procurement15@singapore-seafood15.com,https://www.singapore-seafood15.com,Bedok,Bedok,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood15, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Woodlands Aquatic Foods Group #16,procurement16@singapore-seafood16.com,https://www.singapore-seafood16.com,Woodlands,Woodlands,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood16, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Tampines Seafood Trading Co. #17,procurement17@singapore-seafood17.com,https://www.singapore-seafood17.com,Tampines,Tampines,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood17, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Ang Mo Kio Global Seafoods Ltd #18,procurement18@singapore-seafood18.com,https://www.singapore-seafood18.com,Ang Mo Kio,Ang Mo Kio,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood18, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Jurong East Import & Export Corp #19,procurement19@singapore-seafood19.com,https://www.singapore-seafood19.com,Jurong East,Jurong East,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood19, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Chinatown Fine Foods Distribution #20,procurement20@singapore-seafood20.com,https://www.singapore-seafood20.com,Chinatown,Chinatown,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood20, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Bedok Asian Gourmet Mart #21,procurement21@singapore-seafood21.com,https://www.singapore-seafood21.com,Bedok,Bedok,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood21, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Woodlands HORECA Procurement #22,procurement22@singapore-seafood22.com,https://www.singapore-seafood22.com,Woodlands,Woodlands,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood22, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Tampines Seafood Wholesale & Logistics #23,procurement23@singapore-seafood23.com,https://www.singapore-seafood23.com,Tampines,Tampines,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood23, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Ang Mo Kio Aquatic Foods Group #24,procurement24@singapore-seafood24.com,https://www.singapore-seafood24.com,Ang Mo Kio,Ang Mo Kio,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood24, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Jurong East Seafood Trading Co. #25,procurement25@singapore-seafood25.com,https://www.singapore-seafood25.com,Jurong East,Jurong East,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood25, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Chinatown Global Seafoods Ltd #26,procurement26@singapore-seafood26.com,https://www.singapore-seafood26.com,Chinatown,Chinatown,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood26, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Bedok Import & Export Corp #27,procurement27@singapore-seafood27.com,https://www.singapore-seafood27.com,Bedok,Bedok,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood27, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Woodlands Fine Foods Distribution #28,procurement28@singapore-seafood28.com,https://www.singapore-seafood28.com,Woodlands,Woodlands,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood28, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Tampines Asian Gourmet Mart #29,procurement29@singapore-seafood29.com,https://www.singapore-seafood29.com,Tampines,Tampines,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood29, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Ang Mo Kio HORECA Procurement #30,procurement30@singapore-seafood30.com,https://www.singapore-seafood30.com,Ang Mo Kio,Ang Mo Kio,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood30, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Jurong East Seafood Wholesale & Logistics #31,procurement31@singapore-seafood31.com,https://www.singapore-seafood31.com,Jurong East,Jurong East,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood31, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Chinatown Aquatic Foods Group #32,procurement32@singapore-seafood32.com,https://www.singapore-seafood32.com,Chinatown,Chinatown,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood32, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Bedok Seafood Trading Co. #33,procurement33@singapore-seafood33.com,https://www.singapore-seafood33.com,Bedok,Bedok,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood33, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Woodlands Global Seafoods Ltd #34,procurement34@singapore-seafood34.com,https://www.singapore-seafood34.com,Woodlands,Woodlands,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood34, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Tampines Import & Export Corp #35,procurement35@singapore-seafood35.com,https://www.singapore-seafood35.com,Tampines,Tampines,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood35, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Ang Mo Kio Fine Foods Distribution #36,procurement36@singapore-seafood36.com,https://www.singapore-seafood36.com,Ang Mo Kio,Ang Mo Kio,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood36, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Jurong East Asian Gourmet Mart #37,procurement37@singapore-seafood37.com,https://www.singapore-seafood37.com,Jurong East,Jurong East,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood37, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Chinatown HORECA Procurement #38,procurement38@singapore-seafood38.com,https://www.singapore-seafood38.com,Chinatown,Chinatown,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood38, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
