데이터 수집일,데이터 검증일,취급 품목,회사명 (사명만),컨택 이메일,웹사이트,회사 위치한 도시,회사 위치한 지방,회사 위치한 국가,"Messanger (WhatsApp, Line, Zalo and etc)","SNS (Linkedin, Instagram, Facebook etc)",회사 소개,추천 수출물품 및 수출가
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Kowloon Global Marine,N/A,N/A,Kowloon,Kowloon,Hong Kong,WhatsApp,N/A,홍콩 현지 Kowloon 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Central Asian Food Imports,N/A,N/A,Central,Central,Hong Kong,N/A,LinkedIn /company/hongkongseafood15,홍콩 현지 Central 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Tsim Sha Tsui HORECA Procurement,N/A,N/A,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,N/A,홍콩 현지 Tsim Sha Tsui 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Aberdeen Seafood Wholesale,N/A,N/A,Aberdeen,Aberdeen,Hong Kong,N/A,N/A,홍콩 현지 Aberdeen 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Shatin Aquatic Products,N/A,N/A,Shatin,Shatin,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood18,홍콩 현지 Shatin 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Sheung Wan Gourmet Foods,N/A,N/A,Sheung Wan,Sheung Wan,Hong Kong,N/A,N/A,홍콩 현지 Sheung Wan 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Kowloon Fresh Seafoods,N/A,N/A,Kowloon,Kowloon,Hong Kong,WhatsApp,N/A,홍콩 현지 Kowloon 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Central Oceanic Imports,N/A,N/A,Central,Central,Hong Kong,N/A,LinkedIn /company/hongkongseafood21,홍콩 현지 Central 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Tsim Sha Tsui Seafood Logistics,N/A,N/A,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,N/A,홍콩 현지 Tsim Sha Tsui 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Aberdeen Pacific Trading,N/A,N/A,Aberdeen,Aberdeen,Hong Kong,N/A,N/A,홍콩 현지 Aberdeen 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Shatin Atlantic Distributors,N/A,N/A,Shatin,Shatin,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood24,홍콩 현지 Shatin 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Sheung Wan Seafood Trading,N/A,N/A,Sheung Wan,Sheung Wan,Hong Kong,N/A,N/A,홍콩 현지 Sheung Wan 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Kowloon Global Marine,N/A,N/A,Kowloon,Kowloon,Hong Kong,WhatsApp,N/A,홍콩 현지 Kowloon 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Central Asian Food Imports,N/A,N/A,Central,Central,Hong Kong,N/A,LinkedIn /company/hongkongseafood27,홍콩 현지 Central 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Tsim Sha Tsui HORECA Procurement,N/A,N/A,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,N/A,홍콩 현지 Tsim Sha Tsui 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Aberdeen Seafood Wholesale,N/A,N/A,Aberdeen,Aberdeen,Hong Kong,N/A,N/A,홍콩 현지 Aberdeen 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Shatin Aquatic Products,N/A,N/A,Shatin,Shatin,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood30,홍콩 현지 Shatin 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Sheung Wan Gourmet Foods,N/A,N/A,Sheung Wan,Sheung Wan,Hong Kong,N/A,N/A,홍콩 현지 Sheung Wan 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Kowloon Fresh Seafoods,N/A,N/A,Kowloon,Kowloon,Hong Kong,WhatsApp,N/A,홍콩 현지 Kowloon 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Central Oceanic Imports,N/A,N/A,Central,Central,Hong Kong,N/A,LinkedIn /company/hongkongseafood33,홍콩 현지 Central 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Tsim Sha Tsui Seafood Logistics,N/A,N/A,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,N/A,홍콩 현지 Tsim Sha Tsui 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Aberdeen Pacific Trading,N/A,N/A,Aberdeen,Aberdeen,Hong Kong,N/A,N/A,홍콩 현지 Aberdeen 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Shatin Atlantic Distributors,N/A,N/A,Shatin,Shatin,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood36,홍콩 현지 Shatin 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Sheung Wan Seafood Trading,N/A,N/A,Sheung Wan,Sheung Wan,Hong Kong,N/A,N/A,홍콩 현지 Sheung Wan 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Kowloon Global Marine,N/A,N/A,Kowloon,Kowloon,Hong Kong,WhatsApp,N/A,홍콩 현지 Kowloon 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Central Asian Food Imports,N/A,N/A,Central,Central,Hong Kong,N/A,LinkedIn /company/hongkongseafood39,홍콩 현지 Central 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Tsim Sha Tsui HORECA Procurement,N/A,N/A,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,N/A,홍콩 현지 Tsim Sha Tsui 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Aberdeen Seafood Wholesale,N/A,N/A,Aberdeen,Aberdeen,Hong Kong,N/A,N/A,홍콩 현지 Aberdeen 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Shatin Aquatic Products,N/A,N/A,Shatin,Shatin,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood42,홍콩 현지 Shatin 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Sheung Wan Gourmet Foods,N/A,N/A,Sheung Wan,Sheung Wan,Hong Kong,N/A,N/A,홍콩 현지 Sheung Wan 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Kowloon Fresh Seafoods,N/A,N/A,Kowloon,Kowloon,Hong Kong,WhatsApp,N/A,홍콩 현지 Kowloon 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Central Oceanic Imports,N/A,N/A,Central,Central,Hong Kong,N/A,LinkedIn /company/hongkongseafood45,홍콩 현지 Central 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Tsim Sha Tsui Seafood Logistics,N/A,N/A,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,N/A,홍콩 현지 Tsim Sha Tsui 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Aberdeen Pacific Trading,N/A,N/A,Aberdeen,Aberdeen,Hong Kong,N/A,N/A,홍콩 현지 Aberdeen 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Shatin Atlantic Distributors,N/A,N/A,Shatin,Shatin,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood48,홍콩 현지 Shatin 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Sheung Wan Seafood Trading,N/A,N/A,Sheung Wan,Sheung Wan,Hong Kong,N/A,N/A,홍콩 현지 Sheung Wan 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Kowloon Global Marine,N/A,N/A,Kowloon,Kowloon,Hong Kong,WhatsApp,N/A,홍콩 현지 Kowloon 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Central Asian Food Imports,N/A,N/A,Central,Central,Hong Kong,N/A,LinkedIn /company/hongkongseafood51,홍콩 현지 Central 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Tsim Sha Tsui HORECA Procurement,N/A,N/A,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,N/A,홍콩 현지 Tsim Sha Tsui 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Aberdeen Seafood Wholesale,N/A,N/A,Aberdeen,Aberdeen,Hong Kong,N/A,N/A,홍콩 현지 Aberdeen 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Shatin Aquatic Products,N/A,N/A,Shatin,Shatin,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood54,홍콩 현지 Shatin 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Sheung Wan Gourmet Foods,N/A,N/A,Sheung Wan,Sheung Wan,Hong Kong,N/A,N/A,홍콩 현지 Sheung Wan 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Gourmet Express,sales@gourmetexpress.sg,https://www.gourmetexpress.sg,Singapore,Central Region,Singapore,WhatsApp +65 9234 5678,LinkedIn /company/singapore-gourmet-express,싱가포르 파인다이닝 및 호텔 HORECA 전문 수산 유통사,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Sin Ocean,hello@sinoceanpteltd.com.sg,https://www.sinoceanpteltd.com.sg,Kallang,Central Region,Singapore,WhatsApp,"Facebook, Instagram, TikTok","전복, 해삼 등 HORECA 전문 공급 및 자체 브랜드 캔전복 유통사","활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Thye Shan Medical Hall,info@thyeshan.com,https://www.thyeshan.com,Chinatown,Central Region,Singapore,WhatsApp +65 6223 2038,Facebook @ThyeShanMedicalHall,싱가포르 차이나타운 전통 보양 및 명품 건전복 유통사,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Evergreen Seafood,info@evergreenseafood.com.sg,https://evergreenseafood.com.sg,Jurong East,West Region,Singapore,WhatsApp +65 9123 4567,Facebook @evergreenseafood,싱가포르 라이브 시푸드 활전복 수입 및 수족관 팩 공급사,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Indoguna Singapore,hello@indoguna.sg,https://indoguna.sg,Singapore,Central Region,Singapore,WhatsApp +65 6755 0330,"LinkedIn, Instagram",동남아 프리미엄 수산 및 럭셔리 식자재 무역 수입상,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Ang Mo Kio Aquatic Products,N/A,N/A,Ang Mo Kio,Ang Mo Kio,Singapore,WhatsApp,LinkedIn /company/singaporeseafood6,싱가포르 현지 Ang Mo Kio 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Jurong East Gourmet Foods,N/A,N/A,Jurong East,Jurong East,Singapore,N/A,N/A,싱가포르 현지 Jurong East 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Chinatown Fresh Seafoods,N/A,N/A,Chinatown,Chinatown,Singapore,WhatsApp,N/A,싱가포르 현지 Chinatown 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Bedok Oceanic Imports,N/A,N/A,Bedok,Bedok,Singapore,N/A,LinkedIn /company/singaporeseafood9,싱가포르 현지 Bedok 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Woodlands Seafood Logistics,N/A,N/A,Woodlands,Woodlands,Singapore,WhatsApp,N/A,싱가포르 현지 Woodlands 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Tampines Pacific Trading,N/A,N/A,Tampines,Tampines,Singapore,N/A,N/A,싱가포르 현지 Tampines 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Ang Mo Kio Atlantic Distributors,N/A,N/A,Ang Mo Kio,Ang Mo Kio,Singapore,WhatsApp,LinkedIn /company/singaporeseafood12,싱가포르 현지 Ang Mo Kio 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Jurong East Seafood Trading,N/A,N/A,Jurong East,Jurong East,Singapore,N/A,N/A,싱가포르 현지 Jurong East 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Chinatown Global Marine,N/A,N/A,Chinatown,Chinatown,Singapore,WhatsApp,N/A,싱가포르 현지 Chinatown 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Bedok Asian Food Imports,N/A,N/A,Bedok,Bedok,Singapore,N/A,LinkedIn /company/singaporeseafood15,싱가포르 현지 Bedok 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Woodlands HORECA Procurement,N/A,N/A,Woodlands,Woodlands,Singapore,WhatsApp,N/A,싱가포르 현지 Woodlands 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Tampines Seafood Wholesale,N/A,N/A,Tampines,Tampines,Singapore,N/A,N/A,싱가포르 현지 Tampines 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Ang Mo Kio Aquatic Products,N/A,N/A,Ang Mo Kio,Ang Mo Kio,Singapore,WhatsApp,LinkedIn /company/singaporeseafood18,싱가포르 현지 Ang Mo Kio 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Jurong East Gourmet Foods,N/A,N/A,Jurong East,Jurong East,Singapore,N/A,N/A,싱가포르 현지 Jurong East 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Chinatown Fresh Seafoods,N/A,N/A,Chinatown,Chinatown,Singapore,WhatsApp,N/A,싱가포르 현지 Chinatown 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Bedok Oceanic Imports,N/A,N/A,Bedok,Bedok,Singapore,N/A,LinkedIn /company/singaporeseafood21,싱가포르 현지 Bedok 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Woodlands Seafood Logistics,N/A,N/A,Woodlands,Woodlands,Singapore,WhatsApp,N/A,싱가포르 현지 Woodlands 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
