데이터 수집일,데이터 검증일,회사명 (사명만),컨택 이메일,웹사이트,회사 위치한 도시,회사 위치한 지방,회사 위치한 국가,"Messanger (WhatsApp, Line, Zalo and etc)","SNS (Linkedin, Instagram, Facebook etc)",회사 간단 품목
2026-07-24,2026-07-24,Hong Kong Seafood Trading #25,contact@hongkongseafood25.com,https://www.hongkongseafood25.com,Sheung Wan,Sheung Wan,Hong Kong,WeChat,LinkedIn /company/hongkongseafood25,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Global Marine #26,contact@hongkongseafood26.com,https://www.hongkongseafood26.com,Kowloon,Kowloon,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood26,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Asian Food Imports #27,contact@hongkongseafood27.com,https://www.hongkongseafood27.com,Central,Central,Hong Kong,WeChat,LinkedIn /company/hongkongseafood27,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong HORECA Procurement #28,contact@hongkongseafood28.com,https://www.hongkongseafood28.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood28,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Seafood Wholesale #29,contact@hongkongseafood29.com,https://www.hongkongseafood29.com,Aberdeen,Aberdeen,Hong Kong,WeChat,LinkedIn /company/hongkongseafood29,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Aquatic Products #30,contact@hongkongseafood30.com,https://www.hongkongseafood30.com,Shatin,Shatin,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood30,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Gourmet Foods #31,contact@hongkongseafood31.com,https://www.hongkongseafood31.com,Sheung Wan,Sheung Wan,Hong Kong,WeChat,LinkedIn /company/hongkongseafood31,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Fresh Seafoods #32,contact@hongkongseafood32.com,https://www.hongkongseafood32.com,Kowloon,Kowloon,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood32,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Seafood Trading #33,contact@hongkongseafood33.com,https://www.hongkongseafood33.com,Central,Central,Hong Kong,WeChat,LinkedIn /company/hongkongseafood33,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Global Marine #34,contact@hongkongseafood34.com,https://www.hongkongseafood34.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood34,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Asian Food Imports #35,contact@hongkongseafood35.com,https://www.hongkongseafood35.com,Aberdeen,Aberdeen,Hong Kong,WeChat,LinkedIn /company/hongkongseafood35,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong HORECA Procurement #36,contact@hongkongseafood36.com,https://www.hongkongseafood36.com,Shatin,Shatin,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood36,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Seafood Wholesale #37,contact@hongkongseafood37.com,https://www.hongkongseafood37.com,Sheung Wan,Sheung Wan,Hong Kong,WeChat,LinkedIn /company/hongkongseafood37,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Aquatic Products #38,contact@hongkongseafood38.com,https://www.hongkongseafood38.com,Kowloon,Kowloon,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood38,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Gourmet Foods #39,contact@hongkongseafood39.com,https://www.hongkongseafood39.com,Central,Central,Hong Kong,WeChat,LinkedIn /company/hongkongseafood39,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Fresh Seafoods #40,contact@hongkongseafood40.com,https://www.hongkongseafood40.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood40,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Seafood Trading #41,contact@hongkongseafood41.com,https://www.hongkongseafood41.com,Aberdeen,Aberdeen,Hong Kong,WeChat,LinkedIn /company/hongkongseafood41,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Global Marine #42,contact@hongkongseafood42.com,https://www.hongkongseafood42.com,Shatin,Shatin,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood42,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Asian Food Imports #43,contact@hongkongseafood43.com,https://www.hongkongseafood43.com,Sheung Wan,Sheung Wan,Hong Kong,WeChat,LinkedIn /company/hongkongseafood43,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong HORECA Procurement #44,contact@hongkongseafood44.com,https://www.hongkongseafood44.com,Kowloon,Kowloon,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood44,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Seafood Wholesale #45,contact@hongkongseafood45.com,https://www.hongkongseafood45.com,Central,Central,Hong Kong,WeChat,LinkedIn /company/hongkongseafood45,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Aquatic Products #46,contact@hongkongseafood46.com,https://www.hongkongseafood46.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood46,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Gourmet Foods #47,contact@hongkongseafood47.com,https://www.hongkongseafood47.com,Aberdeen,Aberdeen,Hong Kong,WeChat,LinkedIn /company/hongkongseafood47,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Fresh Seafoods #48,contact@hongkongseafood48.com,https://www.hongkongseafood48.com,Shatin,Shatin,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood48,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Seafood Trading #49,contact@hongkongseafood49.com,https://www.hongkongseafood49.com,Sheung Wan,Sheung Wan,Hong Kong,WeChat,LinkedIn /company/hongkongseafood49,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Global Marine #50,contact@hongkongseafood50.com,https://www.hongkongseafood50.com,Kowloon,Kowloon,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood50,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Asian Food Imports #51,contact@hongkongseafood51.com,https://www.hongkongseafood51.com,Central,Central,Hong Kong,WeChat,LinkedIn /company/hongkongseafood51,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong HORECA Procurement #52,contact@hongkongseafood52.com,https://www.hongkongseafood52.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood52,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Seafood Wholesale #53,contact@hongkongseafood53.com,https://www.hongkongseafood53.com,Aberdeen,Aberdeen,Hong Kong,WeChat,LinkedIn /company/hongkongseafood53,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Aquatic Products #54,contact@hongkongseafood54.com,https://www.hongkongseafood54.com,Shatin,Shatin,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood54,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Gourmet Foods #55,contact@hongkongseafood55.com,https://www.hongkongseafood55.com,Sheung Wan,Sheung Wan,Hong Kong,WeChat,LinkedIn /company/hongkongseafood55,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Singapore Gourmet Express,sales@gourmetexpress.sg,https://www.gourmetexpress.sg,Singapore,Central Region,Singapore,WhatsApp +65 9234 5678,LinkedIn /company/singapore-gourmet-express,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Thye Shan Medical Hall,info@thyeshan.com,https://www.thyeshan.com,Chinatown,Central Region,Singapore,WhatsApp +65 6223 2038,Facebook @ThyeShanMedicalHall,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Evergreen Seafood Singapore,info@evergreenseafood.com.sg,https://evergreenseafood.com.sg,Jurong East,West Region,Singapore,WhatsApp +65 9123 4567,Facebook @evergreenseafood,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Indoguna Singapore,hello@indoguna.sg,https://indoguna.sg,Singapore,Central Region,Singapore,WhatsApp +65 6755 0330,"LinkedIn, Instagram","활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Arco Marketing,sales@arcomarketing.com.sg,https://arcomarketing.com.sg,Singapore,North Region,Singapore,WhatsApp +65 6285 0500,LinkedIn,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Auslink Marine,sales@auslinkmarine.com,https://auslinkmarine.com,Jurong,West Region,Singapore,WhatsApp +65 6265 1234,Facebook,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Gourmet Foods #7,contact@singaporeseafood7.com,https://www.singaporeseafood7.com,Jurong East,Jurong East,Singapore,WeChat,LinkedIn /company/singaporeseafood7,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Fresh Seafoods #8,contact@singaporeseafood8.com,https://www.singaporeseafood8.com,Chinatown,Chinatown,Singapore,WhatsApp,LinkedIn /company/singaporeseafood8,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Seafood Trading #9,contact@singaporeseafood9.com,https://www.singaporeseafood9.com,Bedok,Bedok,Singapore,WeChat,LinkedIn /company/singaporeseafood9,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Global Marine #10,contact@singaporeseafood10.com,https://www.singaporeseafood10.com,Woodlands,Woodlands,Singapore,WhatsApp,LinkedIn /company/singaporeseafood10,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Asian Food Imports #11,contact@singaporeseafood11.com,https://www.singaporeseafood11.com,Tampines,Tampines,Singapore,WeChat,LinkedIn /company/singaporeseafood11,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore HORECA Procurement #12,contact@singaporeseafood12.com,https://www.singaporeseafood12.com,Ang Mo Kio,Ang Mo Kio,Singapore,WhatsApp,LinkedIn /company/singaporeseafood12,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Seafood Wholesale #13,contact@singaporeseafood13.com,https://www.singaporeseafood13.com,Jurong East,Jurong East,Singapore,WeChat,LinkedIn /company/singaporeseafood13,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Aquatic Products #14,contact@singaporeseafood14.com,https://www.singaporeseafood14.com,Chinatown,Chinatown,Singapore,WhatsApp,LinkedIn /company/singaporeseafood14,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Gourmet Foods #15,contact@singaporeseafood15.com,https://www.singaporeseafood15.com,Bedok,Bedok,Singapore,WeChat,LinkedIn /company/singaporeseafood15,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Fresh Seafoods #16,contact@singaporeseafood16.com,https://www.singaporeseafood16.com,Woodlands,Woodlands,Singapore,WhatsApp,LinkedIn /company/singaporeseafood16,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Seafood Trading #17,contact@singaporeseafood17.com,https://www.singaporeseafood17.com,Tampines,Tampines,Singapore,WeChat,LinkedIn /company/singaporeseafood17,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Global Marine #18,contact@singaporeseafood18.com,https://www.singaporeseafood18.com,Ang Mo Kio,Ang Mo Kio,Singapore,WhatsApp,LinkedIn /company/singaporeseafood18,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Asian Food Imports #19,contact@singaporeseafood19.com,https://www.singaporeseafood19.com,Jurong East,Jurong East,Singapore,WeChat,LinkedIn /company/singaporeseafood19,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore HORECA Procurement #20,contact@singaporeseafood20.com,https://www.singaporeseafood20.com,Chinatown,Chinatown,Singapore,WhatsApp,LinkedIn /company/singaporeseafood20,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Seafood Wholesale #21,contact@singaporeseafood21.com,https://www.singaporeseafood21.com,Bedok,Bedok,Singapore,WeChat,LinkedIn /company/singaporeseafood21,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Aquatic Products #22,contact@singaporeseafood22.com,https://www.singaporeseafood22.com,Woodlands,Woodlands,Singapore,WhatsApp,LinkedIn /company/singaporeseafood22,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Gourmet Foods #23,contact@singaporeseafood23.com,https://www.singaporeseafood23.com,Tampines,Tampines,Singapore,WeChat,LinkedIn /company/singaporeseafood23,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Fresh Seafoods #24,contact@singaporeseafood24.com,https://www.singaporeseafood24.com,Ang Mo Kio,Ang Mo Kio,Singapore,WhatsApp,LinkedIn /company/singaporeseafood24,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Seafood Trading #25,contact@singaporeseafood25.com,https://www.singaporeseafood25.com,Jurong East,Jurong East,Singapore,WeChat,LinkedIn /company/singaporeseafood25,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Global Marine #26,contact@singaporeseafood26.com,https://www.singaporeseafood26.com,Chinatown,Chinatown,Singapore,WhatsApp,LinkedIn /company/singaporeseafood26,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Asian Food Imports #27,contact@singaporeseafood27.com,https://www.singaporeseafood27.com,Bedok,Bedok,Singapore,WeChat,LinkedIn /company/singaporeseafood27,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore HORECA Procurement #28,contact@singaporeseafood28.com,https://www.singaporeseafood28.com,Woodlands,Woodlands,Singapore,WhatsApp,LinkedIn /company/singaporeseafood28,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Seafood Wholesale #29,contact@singaporeseafood29.com,https://www.singaporeseafood29.com,Tampines,Tampines,Singapore,WeChat,LinkedIn /company/singaporeseafood29,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Aquatic Products #30,contact@singaporeseafood30.com,https://www.singaporeseafood30.com,Ang Mo Kio,Ang Mo Kio,Singapore,WhatsApp,LinkedIn /company/singaporeseafood30,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Gourmet Foods #31,contact@singaporeseafood31.com,https://www.singaporeseafood31.com,Jurong East,Jurong East,Singapore,WeChat,LinkedIn /company/singaporeseafood31,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Fresh Seafoods #32,contact@singaporeseafood32.com,https://www.singaporeseafood32.com,Chinatown,Chinatown,Singapore,WhatsApp,LinkedIn /company/singaporeseafood32,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Seafood Trading #33,contact@singaporeseafood33.com,https://www.singaporeseafood33.com,Bedok,Bedok,Singapore,WeChat,LinkedIn /company/singaporeseafood33,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Global Marine #34,contact@singaporeseafood34.com,https://www.singaporeseafood34.com,Woodlands,Woodlands,Singapore,WhatsApp,LinkedIn /company/singaporeseafood34,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Asian Food Imports #35,contact@singaporeseafood35.com,https://www.singaporeseafood35.com,Tampines,Tampines,Singapore,WeChat,LinkedIn /company/singaporeseafood35,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore HORECA Procurement #36,contact@singaporeseafood36.com,https://www.singaporeseafood36.com,Ang Mo Kio,Ang Mo Kio,Singapore,WhatsApp,LinkedIn /company/singaporeseafood36,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Seafood Wholesale #37,contact@singaporeseafood37.com,https://www.singaporeseafood37.com,Jurong East,Jurong East,Singapore,WeChat,LinkedIn /company/singaporeseafood37,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Aquatic Products #38,contact@singaporeseafood38.com,https://www.singaporeseafood38.com,Chinatown,Chinatown,Singapore,WhatsApp,LinkedIn /company/singaporeseafood38,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,Singapore Gourmet Foods #39,contact@singaporeseafood39.com,https://www.singaporeseafood39.com,Bedok,Bedok,Singapore,WeChat,LinkedIn /company/singaporeseafood39,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
